City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,jamestown,42.097,-79.2353,3.8,68,0,3.09,US,1699832960
163,nova sintra,14.8667,-24.7167,23.81,68,52,3.47,CV,1699833199
164,ribeira grande,38.5167,-28.7,18.21,88,100,2.24,PT,1699833200
165,klyuchi,52.2667,79.1667,4.09,90,95,5.08,RU,1699833201
166,katsuura,35.1333,140.3,10.1,82,62,8.69,JP,1699833203
167,luderitz,-26.6481,15.1594,18.38,56,0,7.98,,1699833203
168,uturoa,-16.7333,-151.4333,27.61,76,22,3.41,PF,1699833204
169,atafu village,-8.5421,-172.5159,29.02,69,70,0.27,TK,1699833205
170,ghat,24.9647,10.1728,19.12,30,0,3.96,LY,1699833206
171,nelson,-41.2833,173.2833,19.11,52,100,3.42,NZ,1699833207
172,leirvik,59.7798,5.5005,5.9,65,54,2.2,NO,1699833207
173,noyabrsk,63.1994,75.4507,-2.65,96,100,4.02,RU,1699833208
174,nadvoitsy,63.8667,34.3167,-2.71,82,99,6.76,RU,1699833209
175,kilinochchi,9.3961,80.3982,25.85,83,100,5.17,LK,1699833210
176,dem'yanovo,60.3511,47.0842,1.25,97,100,5.45,RU,1699833211
177,mejit,10.2753,170.8646,28.1,81,87,8.29,MH,1699833211
178,nieuw amsterdam,5.8833,-55.0833,27.79,83,24,5.06,SR,1699833212
179,camacupa,-12.0167,17.4833,16.12,95,100,0.69,AO,1699833213
180,fort mcmurray,56.7268,-111.381,2.77,69,20,4.63,CA,1699833213
181,tunceli,39.1083,39.5471,12.4,61,33,1.35,TR,1699833214
182,la'ie,21.6477,-157.9253,30.98,76,29,4.02,US,1699833215
183,el calafate,-50.3408,-72.2768,8.36,70,87,3.23,AR,1699833216
184,ilhabela,-23.7781,-45.3581,24.87,86,98,1.82,BR,1699833217
185,bryne,58.7354,5.6477,4.2,95,100,0.51,NO,1699833207
186,kihoku-cho,33.2559,132.6834,9.09,62,93,6.76,JP,1699833218
187,pantai remis,4.4557,100.6288,26.01,86,97,1.12,MY,1699833220
188,arraial do cabo,-22.9661,-42.0278,24.92,83,100,2.13,BR,1699833220
189,west island,-12.1568,96.8225,25.99,89,40,3.6,CC,1699832934
190,ascension,30.2169,-90.9001,22.26,80,40,1.54,US,1699833222
191,humahuaca,-23.2054,-65.3505,18.8,51,77,3.35,AR,1699833223
192,puerto deseado,-47.7503,-65.8938,7.43,60,20,3.28,AR,1699833223
193,novaya balakhna,56.4906,43.5919,7.0,91,100,2.24,RU,1699832995
194,yoloten,37.2989,62.3597,10.31,29,0,4.64,TM,1699833225
195,nadi,-17.8,177.4167,26.0,83,75,2.06,FJ,1699833226
196,iskateley,67.6803,53.1512,-11.66,94,52,2.24,RU,1699833227
